,Vehicle Name,Vehicle Description,Electric,Model Name,Average Rating,Brand Name,Vehicle Image,Category Name,Vehicle Price,Variant Name,Fuel Type,Power,End Point
11,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",No,Ultra Sleek T.9,0.0,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,Truck,₹17.30 Lakh,3920/HDLB/6 Tyre,Diesel,Not Available,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9/3920-hdlb-6-tyre
12,Tata Ultra Sleek T.9,"The Tata Ultra Sleek T.9 is a high-performance commercial vehicle that offers a unique blend of style, comfort, and functionality. It is designed to cater to the needs of businesses that require a reliable and efficient transportation solution. The vehicle is powered by a 4-cylinder, 4-stroke diesel engine that produces 98 horsepower and 300 Nm of torque. It has a 6-speed manual transmission and a top speed of 120 km/h.",No,Ultra Sleek T.9,0.0,Tata,https://images.91trucks.com/trucks/models/63/1282/tata-ultra-sleek-t-9-199732698.jpg,Truck,₹17.29 Lakh,4530/HDLB/6 Tyre,Diesel,Not Available,https://www.91trucks.com/trucks/tata/ultra-sleek-t-9/4530-hdlb-6-tyre
13,Tata Signa 2823.k 9m3 Boom Pump Truck,"The Tata Signa 2823.k 9m3 Boom Pump Truck is designed specifically for concrete mixing and pumping applications in construction projects. With its advanced boom pump system, this truck ensures efficient and seamless delivery of concrete at construction sites. Built on the trusted Signa platform, it offers durability, reliability, and high productivity. The truck’s spacious and ergonomic cabin provides comfort and safety for operators during long hours of operation. The Signa 2823.k is ideal for large-scale infrastructure and real estate projects, offering consistent performance and reducing downtime.",No,Signa 2823.k 9m3 Boom Pump Truck,0.0,Tata,https://images.91trucks.com/trucks/models/63/1284/tata-signa-2823-k-9m3-boom-pump-truck-783296838.jpg,Truck,Coming Soon,5.6 L B S6,Diesel,Not Available,https://www.91trucks.com/trucks/tata/signa-2823-k-9m3-boom-pump-truck/5-6-l-b-s6
14,Tata Prima G.35K,"The Tata Prima G.35K is a heavy-duty tipper truck built for large-scale construction, mining, and infrastructure projects. Known for its robust performance, it features a powerful engine and reinforced chassis to handle heavy payloads on rough terrains. The Prima series stands out for its advanced features, including a spacious and ergonomic cabin for driver comfort. With excellent fuel efficiency, durability, and advanced suspension, the Prima G.35K ensures maximum uptime and productivity. This truck is the perfect choice for businesses demanding high performance in demanding environments.",No,Prima G.35K,0.0,Tata,https://images.91trucks.com/trucks/models/63/1276/tata-prima-g-35k-tipper-475211320.jpg,Truck,₹36.50 Lakh,23m Box,Diesel,Not Available,https://www.91trucks.com/trucks/tata/prima-g-35k-tipper/23m-box
15,Tata Prima G.35K,"The Tata Prima G.35K is a heavy-duty tipper truck built for large-scale construction, mining, and infrastructure projects. Known for its robust performance, it features a powerful engine and reinforced chassis to handle heavy payloads on rough terrains. The Prima series stands out for its advanced features, including a spacious and ergonomic cabin for driver comfort. With excellent fuel efficiency, durability, and advanced suspension, the Prima G.35K ensures maximum uptime and productivity. This truck is the perfect choice for businesses demanding high performance in demanding environments.",No,Prima G.35K,0.0,Tata,https://images.91trucks.com/trucks/models/63/1276/tata-prima-g-35k-tipper-475211320.jpg,Truck,₹32.20 Lakh,18m Box,Not Available,Not Available,https://www.91trucks.com/trucks/tata/prima-g-35k-tipper/18m-box
16,Tata Prima G.35K,"The Tata Prima G.35K is a heavy-duty tipper truck built for large-scale construction, mining, and infrastructure projects. Known for its robust performance, it features a powerful engine and reinforced chassis to handle heavy payloads on rough terrains. The Prima series stands out for its advanced features, including a spacious and ergonomic cabin for driver comfort. With excellent fuel efficiency, durability, and advanced suspension, the Prima G.35K ensures maximum uptime and productivity. This truck is the perfect choice for businesses demanding high performance in demanding environments.",No,Prima G.35K,0.0,Tata,https://images.91trucks.com/trucks/models/63/1276/tata-prima-g-35k-tipper-475211320.jpg,Truck,₹32.20 Lakh,19m Scoop body,Not Available,Not Available,https://www.91trucks.com/trucks/tata/prima-g-35k-tipper/19m-scoop-body
17,Tata 1812g LPT,"The Tata 1812g LPT is a CNG-powered medium-duty truck focused on cost-efficiency and environmental sustainability. Designed for city and intercity transport, it offers a balance between payload capacity and reduced emissions. The 1812g LPT ensures excellent performance with minimal operational costs, making it an attractive option for businesses focusing on green transportation. Its durable chassis and spacious cabin provide comfort and long-term reliability. This truck is ideal for industries looking for cleaner, greener logistics solutions without compromising profitability.",No,1812g LPT,0.0,Tata,https://images.91trucks.com/trucks/models/63/1275/tata-1812g-lpt-1739140236.jpg,Truck,₹28.40 Lakh,3783,Diesel,Not Available,https://www.91trucks.com/trucks/tata/1812g-lpt/3783
18,Tata Prima FL 3530.S Tipper,"The Tata Prima FL 3530.S Tipper is a heavy-duty vehicle designed for construction and mining applications. Known for its powerful performance and durability, it can handle extreme load conditions with ease. The robust chassis, strong tipping body, and high ground clearance make it ideal for rough terrains and challenging job sites. The truck is equipped with advanced features such as reliable braking systems and driver-friendly interiors to ensure safety and comfort. Its excellent fuel efficiency and reduced maintenance costs make it a preferred choice for heavy industries requiring consistent and dependable performance.",No,Prima FL 3530.S Tipper,0.0,Tata,https://images.91trucks.com/trucks/models/63/1283/tata-prima-fl-3530-s-tipper-543029452.jpg,Truck,Coming Soon,6.7 L 300 hp B S6,Diesel,Not Available,https://www.91trucks.com/trucks/tata/prima-fl-3530-s-tipper/6-7-l-300-hp-b-s6
19,Tata Yodha CC 4x4 BS6,"Introducing the YODHA CC 4x4 L x BS6 Phase 2, a formidable blend of power, reliability, and versatility. Engineered to conquer both urban jungles and off-road terrain with equal ease, this robust vehicle sets new standards in its class.

At the heart of the YODHA CC 4x4 L x BS6 Phase 2 lies a potent engine, delivering an impressive 100 HP of power and a maximum torque of 250 Nm. Whether navigating challenging landscapes or cruising down the highway, this powerhouse ensures exhilarating performance at every turn.

Equipped with four-wheel drive capability, the YODHA CC 4x4 L x BS6 Phase 2 offers unparalleled stability and control, making it a formidable companion for any adventure. Its GVW/GCW ranging from 2.90 to 3.29 T underscores its robust construction, promising durability and resilience in the face of heavy-duty tasks.

Safety is paramount, and the YODHA CC 4x4 L x BS6 Phase 2 delivers with advanced safety features and a sturdy build, providing peace of mind for both driver and passengers. Plus, with a generous warranty of 3 years or 3 lac kilometers, drivers can enjoy worry-free motoring for years to come.

Fuel efficiency is maximized with a capacious 52-liter fuel tank, ensuring extended driving range for those long journeys or off-road escapades. This vehicle isn't just a means of transportation; it's a trusted companion, ready to take on whatever challenges the road may present.

From its powerful performance to its dependable reputation, the YODHA CC 4x4 L x BS6 Phase 2 stands tall as a symbol of reliability, versatility, and sheer driving pleasure.",No,Yodha CC 4x4 BS6,0.0,Tata,https://images.91trucks.com/trucks/models/63/2111/tata-yodha-cc-4-x-4-l-x-bs6-phase-2-969400716.png,Truck,₹11.50 Lakh,YODHA CC 4 x 4 L x BS6 Phase 2,Not Available,Not Available,https://www.91trucks.com/trucks/tata/yodha-4x4/yodha-cc-4-x-4-l-x-bs6-phase-2
20,Tata Ultra T.7 EV,"The Tata Ultra T.7 EV is India’s first fully electric light commercial truck, built for urban transport. It features a 62.5 kWh battery with 100+ km range, fast charging in ~2 hours, and a powerful 220 kW motor with 2,800 Nm torque. With up to 4,935 kg payload and modern, driver-friendly design, it’s ideal for city logistics.",Yes,Ultra T.7 EV,5.0,Tata,https://images.91trucks.com/trucks/models/63/3315/tata-ultra-t7-ev-183864913.png,Truck,₹16.81 Lakh,3900/HSD,Electric,295 HP,https://www.91trucks.com/trucks/tata/ultra-t7-ev/3900hsd
21,Tata Ultra T.7 EV,"The Tata Ultra T.7 EV is India’s first fully electric light commercial truck, built for urban transport. It features a 62.5 kWh battery with 100+ km range, fast charging in ~2 hours, and a powerful 220 kW motor with 2,800 Nm torque. With up to 4,935 kg payload and modern, driver-friendly design, it’s ideal for city logistics.",Yes,Ultra T.7 EV,5.0,Tata,https://images.91trucks.com/trucks/models/63/3315/tata-ultra-t7-ev-183864913.png,Truck,₹15.29 Lakh,3900/CLB,Electric,295 HP,https://www.91trucks.com/trucks/tata/ultra-t7-ev/3900clb
22,Tata Ultra T.7 EV,"The Tata Ultra T.7 EV is India’s first fully electric light commercial truck, built for urban transport. It features a 62.5 kWh battery with 100+ km range, fast charging in ~2 hours, and a powerful 220 kW motor with 2,800 Nm torque. With up to 4,935 kg payload and modern, driver-friendly design, it’s ideal for city logistics.",Yes,Ultra T.7 EV,5.0,Tata,https://images.91trucks.com/trucks/models/63/3315/tata-ultra-t7-ev-183864913.png,Truck,Coming Soon,3550/CBC,Electric,295 HP,https://www.91trucks.com/trucks/tata/ultra-t7-ev/3550cbc
23,Tata 709g LPT TT,"The Tata 709g LPT TT is a CNG-powered truck known for its twin-tire rear axle, which enhances its load-carrying capability and stability. This vehicle is perfect for businesses needing efficient and environmentally friendly transportation solutions for intra-city and regional operations. It boasts lower operating costs due to its fuel-efficient engine and reduced emissions. The ergonomic design of the cabin prioritizes driver safety and comfort, ensuring reliable long-hour operations. Its robust chassis and Tata's engineering excellence make it a top contender for businesses aiming to balance environmental responsibility with operational profitability.",No,709g LPT TT,4.2,Tata,https://images.91trucks.com/trucks/models/63/1170/tata-709g-lpt-tt-1239643197.jpg,Truck,₹19.50 Lakh,HDLB,Not Available,83 HP,https://www.91trucks.com/trucks/tata/709g-lpt-tt/hdlb
24,Tata 709g LPT TT,"The Tata 709g LPT TT is a CNG-powered truck known for its twin-tire rear axle, which enhances its load-carrying capability and stability. This vehicle is perfect for businesses needing efficient and environmentally friendly transportation solutions for intra-city and regional operations. It boasts lower operating costs due to its fuel-efficient engine and reduced emissions. The ergonomic design of the cabin prioritizes driver safety and comfort, ensuring reliable long-hour operations. Its robust chassis and Tata's engineering excellence make it a top contender for businesses aiming to balance environmental responsibility with operational profitability.",No,709g LPT TT,4.2,Tata,https://images.91trucks.com/trucks/models/63/1170/tata-709g-lpt-tt-1239643197.jpg,Truck,₹19.25 Lakh,FSD,Not Available,83 HP,https://www.91trucks.com/trucks/tata/709g-lpt-tt/fsd
25,Tata 709g LPT TT,"The Tata 709g LPT TT is a CNG-powered truck known for its twin-tire rear axle, which enhances its load-carrying capability and stability. This vehicle is perfect for businesses needing efficient and environmentally friendly transportation solutions for intra-city and regional operations. It boasts lower operating costs due to its fuel-efficient engine and reduced emissions. The ergonomic design of the cabin prioritizes driver safety and comfort, ensuring reliable long-hour operations. Its robust chassis and Tata's engineering excellence make it a top contender for businesses aiming to balance environmental responsibility with operational profitability.",No,709g LPT TT,4.2,Tata,https://images.91trucks.com/trucks/models/63/1170/tata-709g-lpt-tt-1239643197.jpg,Truck,₹18.75 Lakh,CBC,Not Available,83 HP,https://www.91trucks.com/trucks/tata/709g-lpt-tt/cbc
26,Tata 912 LPK,"The Tata 912 LPK is a medium-duty truck designed for various commercial tasks, powered by a reliable 3.3L BSVI diesel engine. It produces 125 hp of power at 2600 rpm and 390 Nm of torque at 1000-2200 rpm, mated to a 6-speed manual transmission. The Tata 912 LPK comes with a warranty of 3 years or 300,000 km, whichever is earlier. With a gross vehicle weight capacity of up to 9,600 kg, it is well-suited for transporting medium to heavy loads.",No,912 LPK,4.6,Tata,https://images.91trucks.com/trucks/models/63/1174/tata-912-lpk-536165955.jpg,Truck,₹21.84 Lakh,CAB/Fully Built,Diesel,123 HP,https://www.91trucks.com/trucks/tata/912-lpk/cbc
27,Tata Ace Gold CNG,"Tata Motors introduced its first commercial vehicle in the year 1977 and it soon became the epitome of success thanks to the reliability factor. Today, due to this obstinate quality of reliability, many logistic-delivery business owners and fleet distribution managers depend on Tata and its products. Also due to the perseverance of the brand to understand vulnerability and demand fluctuations affecting customers. Tata Motors has been able to make the best commercial vehicles in India. Therefore, due to the aforementioned qualities, it has received awards across 6 categories. One such popular commercial vehicle built with reliability and durability in mind is the Tata Ace Gold. The BS6 iteration of the Tata Ace Gold is a strong contender to the likes of Mahindra Jeeto and Maruti Suzuki Super Carry. Available in diesel, petrol and CNG, the Ace Gold mini-truck comes at a price ranging between Rs.4.60 - Rs. 5.61 Lakh (ex-showroom). Recently, the brand has also launched an affordable variant- The Ace Gold petrol CX which costs around Rs.3.99lakh",No,Ace Gold CNG,3.5,Tata,https://images.91trucks.com/trucks/models/63/1176/tata-ace-gold-548753763.jpg,Truck,₹6.59 Lakh,2.0 CLB,Petrol+CNG,25 HP,https://www.91trucks.com/trucks/tata/ace-gold/20-clb
28,Tata Ace Gold CNG,"Tata Motors introduced its first commercial vehicle in the year 1977 and it soon became the epitome of success thanks to the reliability factor. Today, due to this obstinate quality of reliability, many logistic-delivery business owners and fleet distribution managers depend on Tata and its products. Also due to the perseverance of the brand to understand vulnerability and demand fluctuations affecting customers. Tata Motors has been able to make the best commercial vehicles in India. Therefore, due to the aforementioned qualities, it has received awards across 6 categories. One such popular commercial vehicle built with reliability and durability in mind is the Tata Ace Gold. The BS6 iteration of the Tata Ace Gold is a strong contender to the likes of Mahindra Jeeto and Maruti Suzuki Super Carry. Available in diesel, petrol and CNG, the Ace Gold mini-truck comes at a price ranging between Rs.4.60 - Rs. 5.61 Lakh (ex-showroom). Recently, the brand has also launched an affordable variant- The Ace Gold petrol CX which costs around Rs.3.99lakh",No,Ace Gold CNG,3.5,Tata,https://images.91trucks.com/trucks/models/63/1176/tata-ace-gold-548753763.jpg,Truck,₹6.59 Lakh,2.0 CLB Non Ac,Not Available,25 HP,https://www.91trucks.com/trucks/tata/ace-gold/20-clb-non-ac
29,Tata Ace Gold CNG,"Tata Motors introduced its first commercial vehicle in the year 1977 and it soon became the epitome of success thanks to the reliability factor. Today, due to this obstinate quality of reliability, many logistic-delivery business owners and fleet distribution managers depend on Tata and its products. Also due to the perseverance of the brand to understand vulnerability and demand fluctuations affecting customers. Tata Motors has been able to make the best commercial vehicles in India. Therefore, due to the aforementioned qualities, it has received awards across 6 categories. One such popular commercial vehicle built with reliability and durability in mind is the Tata Ace Gold. The BS6 iteration of the Tata Ace Gold is a strong contender to the likes of Mahindra Jeeto and Maruti Suzuki Super Carry. Available in diesel, petrol and CNG, the Ace Gold mini-truck comes at a price ranging between Rs.4.60 - Rs. 5.61 Lakh (ex-showroom). Recently, the brand has also launched an affordable variant- The Ace Gold petrol CX which costs around Rs.3.99lakh",No,Ace Gold CNG,3.5,Tata,https://images.91trucks.com/trucks/models/63/1176/tata-ace-gold-548753763.jpg,Truck,₹6.50 Lakh,CBC,Not Available,26 HP,https://www.91trucks.com/trucks/tata/ace-gold/cbc
30,Tata Ace Gold CNG,"Tata Motors introduced its first commercial vehicle in the year 1977 and it soon became the epitome of success thanks to the reliability factor. Today, due to this obstinate quality of reliability, many logistic-delivery business owners and fleet distribution managers depend on Tata and its products. Also due to the perseverance of the brand to understand vulnerability and demand fluctuations affecting customers. Tata Motors has been able to make the best commercial vehicles in India. Therefore, due to the aforementioned qualities, it has received awards across 6 categories. One such popular commercial vehicle built with reliability and durability in mind is the Tata Ace Gold. The BS6 iteration of the Tata Ace Gold is a strong contender to the likes of Mahindra Jeeto and Maruti Suzuki Super Carry. Available in diesel, petrol and CNG, the Ace Gold mini-truck comes at a price ranging between Rs.4.60 - Rs. 5.61 Lakh (ex-showroom). Recently, the brand has also launched an affordable variant- The Ace Gold petrol CX which costs around Rs.3.99lakh",No,Ace Gold CNG,3.5,Tata,https://images.91trucks.com/trucks/models/63/1176/tata-ace-gold-548753763.jpg,Truck,₹6.49 Lakh,2.0 S CBC,Not Available,25 HP,https://www.91trucks.com/trucks/tata/ace-gold/20-s-cbc
31,Tata Ace Gold CNG,"Tata Motors introduced its first commercial vehicle in the year 1977 and it soon became the epitome of success thanks to the reliability factor. Today, due to this obstinate quality of reliability, many logistic-delivery business owners and fleet distribution managers depend on Tata and its products. Also due to the perseverance of the brand to understand vulnerability and demand fluctuations affecting customers. Tata Motors has been able to make the best commercial vehicles in India. Therefore, due to the aforementioned qualities, it has received awards across 6 categories. One such popular commercial vehicle built with reliability and durability in mind is the Tata Ace Gold. The BS6 iteration of the Tata Ace Gold is a strong contender to the likes of Mahindra Jeeto and Maruti Suzuki Super Carry. Available in diesel, petrol and CNG, the Ace Gold mini-truck comes at a price ranging between Rs.4.60 - Rs. 5.61 Lakh (ex-showroom). Recently, the brand has also launched an affordable variant- The Ace Gold petrol CX which costs around Rs.3.99lakh",No,Ace Gold CNG,3.5,Tata,https://images.91trucks.com/trucks/models/63/1176/tata-ace-gold-548753763.jpg,Truck,₹6.15 Lakh,Base,Not Available,26 HP,https://www.91trucks.com/trucks/tata/ace-gold/cng
32,Tata Intra V10,"Tata Motors launched its first-ever commercial vehicle back in 1977 and it soon tasted success due to the ruggedness as well as reliability. Even today, these traits make Tata CVs the favourite of many logistic-delivery businesses and fleet operators. No doubt, Tata Motors offers some of the best CVs in India. Hence, it has even attained critical acclamation in the 6 categories. One of the many popular CVs of the homegrown automaker is the Tata Intra V10. The BS6 iteration of the Tata Intra V10 is a strong contender to the likes of Mahindra Supro Profittruck Maxi, Mahindra Supro Profittruck Mini VX. The Intra V10 truck comes at a price ranging between Rs. 6.55 - Rs.6.76 Lakh (ex-showroom). The vehicle also comes with a new BS6-compliant DI engine that generates 44 hp of power & 110 Nm of torque.",No,Intra V10,3.5,Tata,https://images.91trucks.com/trucks/models/63/1177/tata-intra-v10-1053463974.jpg,Truck,₹7.51 Lakh,CLB AC,Not Available,44 HP,https://www.91trucks.com/trucks/tata/intra-v10/clb-ac
33,Tata Intra V10,"Tata Motors launched its first-ever commercial vehicle back in 1977 and it soon tasted success due to the ruggedness as well as reliability. Even today, these traits make Tata CVs the favourite of many logistic-delivery businesses and fleet operators. No doubt, Tata Motors offers some of the best CVs in India. Hence, it has even attained critical acclamation in the 6 categories. One of the many popular CVs of the homegrown automaker is the Tata Intra V10. The BS6 iteration of the Tata Intra V10 is a strong contender to the likes of Mahindra Supro Profittruck Maxi, Mahindra Supro Profittruck Mini VX. The Intra V10 truck comes at a price ranging between Rs. 6.55 - Rs.6.76 Lakh (ex-showroom). The vehicle also comes with a new BS6-compliant DI engine that generates 44 hp of power & 110 Nm of torque.",No,Intra V10,3.5,Tata,https://images.91trucks.com/trucks/models/63/1177/tata-intra-v10-1053463974.jpg,Truck,₹7.28 Lakh,CLB Non AC,Petrol,44 HP,https://www.91trucks.com/trucks/tata/intra-v10/clb-non-ac
34,Tata Intra V10,"Tata Motors launched its first-ever commercial vehicle back in 1977 and it soon tasted success due to the ruggedness as well as reliability. Even today, these traits make Tata CVs the favourite of many logistic-delivery businesses and fleet operators. No doubt, Tata Motors offers some of the best CVs in India. Hence, it has even attained critical acclamation in the 6 categories. One of the many popular CVs of the homegrown automaker is the Tata Intra V10. The BS6 iteration of the Tata Intra V10 is a strong contender to the likes of Mahindra Supro Profittruck Maxi, Mahindra Supro Profittruck Mini VX. The Intra V10 truck comes at a price ranging between Rs. 6.55 - Rs.6.76 Lakh (ex-showroom). The vehicle also comes with a new BS6-compliant DI engine that generates 44 hp of power & 110 Nm of torque.",No,Intra V10,3.5,Tata,https://images.91trucks.com/trucks/models/63/1177/tata-intra-v10-1053463974.jpg,Truck,₹6.75 Lakh,CX CAB,Diesel,29 HP,https://www.91trucks.com/trucks/tata/intra-v10/cx-cab
